Street_One,Street_Two,response,latitude,longitude
MISSION ST,ITALY AVE,"{'Response': {'MetaInfo': {'Timestamp': '2022-12-06T04:57:46.707+0000'}, 'View': [{'_type': 'SearchResultsViewType', 'ViewId': 0, 'Result': [{'Relevance': 0.77, 'MatchLevel': 'street', 'MatchQuality': {'City': 1.0, 'Street': [1.0]}, 'Location': {'LocationId': 'NT_ZwXfEdeVxuTfyekVAP.D2B', 'LocationType': 'point', 'DisplayPosition': {'Latitude': 37.71675, 'Longitude': -122.43594}, 'NavigationPosition': [{'Latitude': 37.71675, 'Longitude': -122.43594}], 'MapView': {'TopLeft': {'Latitude': 37.71847, 'Longitude': -122.43953}, 'BottomRight': {'Latitude': 37.71505, 'Longitude': -122.43233}}, 'Address': {'Label': 'Italy Ave, San Francisco, CA 94112, United States', 'Country': 'USA', 'State': 'CA', 'County': 'San Francisco', 'City': 'San Francisco', 'District': 'Excelsior', 'Street': 'Italy Ave', 'PostalCode': '94112', 'AdditionalData': [{'value': 'United States', 'key': 'CountryName'}, {'value': 'California', 'key': 'StateName'}, {'value': 'San Francisco', 'key': 'CountyName'}, {'value': 'N', 'key': 'PostalCodeType'}]}}}]}]}}",37.71675,-122.43594
MISSION ST,NEW MONTGOMERY ST,"{'Response': {'MetaInfo': {'Timestamp': '2022-12-06T04:37:43.238+0000'}, 'View': [{'_type': 'SearchResultsViewType', 'ViewId': 0, 'Result': [{'Relevance': 0.82, 'MatchLevel': 'street', 'MatchQuality': {'City': 1.0, 'Street': [1.0]}, 'Location': {'LocationId': 'NT_UDeime3JHtfA56pULw36sB', 'LocationType': 'point', 'DisplayPosition': {'Latitude': 37.78747, 'Longitude': -122.40052}, 'NavigationPosition': [{'Latitude': 37.78747, 'Longitude': -122.40052}], 'MapView': {'TopLeft': {'Latitude': 37.78877, 'Longitude': -122.40199}, 'BottomRight': {'Latitude': 37.78622, 'Longitude': -122.39899}}, 'Address': {'Label': 'New Montgomery St, San Francisco, CA 94105, United States', 'Country': 'USA', 'State': 'CA', 'County': 'San Francisco', 'City': 'San Francisco', 'District': 'Soma', 'Street': 'New Montgomery St', 'PostalCode': '94105', 'AdditionalData': [{'value': 'United States', 'key': 'CountryName'}, {'value': 'California', 'key': 'StateName'}, {'value': 'San Francisco', 'key': 'CountyName'}, {'value': 'N', 'key': 'PostalCodeType'}]}}}]}]}}",37.78747,-122.40052
MISSION ST,01ST ST,"{'Response': {'MetaInfo': {'Timestamp': '2022-12-06T05:45:23.808+0000', 'NextPageInformation': '2'}, 'View': [{'_type': 'SearchResultsViewType', 'ViewId': 0, 'Result': [{'Relevance': 0.75, 'MatchLevel': 'street', 'MatchQuality': {'City': 1.0, 'Street': [1.0]}, 'Location': {'LocationId': 'NT_ob5MC3mMch6B8AUm3ux6TD', 'LocationType': 'point', 'DisplayPosition': {'Latitude': 37.77867, 'Longitude': -122.4116}, 'NavigationPosition': [{'Latitude': 37.77867, 'Longitude': -122.4116}], 'MapView': {'TopLeft': {'Latitude': 37.78627, 'Longitude': -122.41995}, 'BottomRight': {'Latitude': 37.77012, 'Longitude': -122.402}}, 'Address': {'Label': 'Mission St, San Francisco, CA 94103, United States', 'Country': 'USA', 'State': 'CA', 'County': 'San Francisco', 'City': 'San Francisco', 'District': 'Soma', 'Street': 'Mission St', 'PostalCode': '94103', 'AdditionalData': [{'value': 'United States', 'key': 'CountryName'}, {'value': 'California', 'key': 'StateName'}, {'value': 'San Francisco', 'key': 'CountyName'}, {'value': 'N', 'key': 'PostalCodeType'}]}}}, {'Relevance': 0.75, 'MatchLevel': 'street', 'MatchQuality': {'City': 1.0, 'Street': [1.0]}, 'Location': {'LocationId': 'NT_.tI56uRYikBo3ENwGGiCsC', 'LocationType': 'point', 'DisplayPosition': {'Latitude': 37.75317, 'Longitude': -122.41855}, 'NavigationPosition': [{'Latitude': 37.75317, 'Longitude': -122.41855}], 'MapView': {'TopLeft': {'Latitude': 37.76505, 'Longitude': -122.42196}, 'BottomRight': {'Latitude': 37.74239, 'Longitude': -122.41811}}, 'Address': {'Label': 'Mission St, San Francisco, CA 94110, United States', 'Country': 'USA', 'State': 'CA', 'County': 'San Francisco', 'City': 'San Francisco', 'District': 'Mission', 'Street': 'Mission St', 'PostalCode': '94110', 'AdditionalData': [{'value': 'United States', 'key': 'CountryName'}, {'value': 'California', 'key': 'StateName'}, {'value': 'San Francisco', 'key': 'CountyName'}, {'value': 'N', 'key': 'PostalCodeType'}]}}}, {'Relevance': 0.75, 'MatchLevel': 'street', 'MatchQuality': {'City': 1.0, 'Street': [1.0]}, 'Location': {'LocationId': 'NT_xh8h9x569U95YlQoHfte8C', 'LocationType': 'point', 'DisplayPosition': {'Latitude': 37.79063, 'Longitude': -122.39649}, 'NavigationPosition': [{'Latitude': 37.79063, 'Longitude': -122.39649}], 'MapView': {'TopLeft': {'Latitude': 37.79325, 'Longitude': -122.39979}, 'BottomRight': {'Latitude': 37.78801, 'Longitude': -122.39319}}, 'Address': {'Label': 'Mission St, San Francisco, CA 94105, United States', 'Country': 'USA', 'State': 'CA', 'County': 'San Francisco', 'City': 'San Francisco', 'District': 'The East Cut', 'Street': 'Mission St', 'PostalCode': '94105', 'AdditionalData': [{'value': 'United States', 'key': 'CountryName'}, {'value': 'California', 'key': 'StateName'}, {'value': 'San Francisco', 'key': 'CountyName'}, {'value': 'N', 'key': 'PostalCodeType'}]}}}, {'Relevance': 0.75, 'MatchLevel': 'street', 'MatchQuality': {'City': 1.0, 'Street': [1.0]}, 'Location': {'LocationId': 'NT_nR5ScNULR8DXKFRtLdxiYA', 'LocationType': 'point', 'DisplayPosition': {'Latitude': 37.78713, 'Longitude': -122.40089}, 'NavigationPosition': [{'Latitude': 37.78713, 'Longitude': -122.40089}], 'MapView': {'TopLeft': {'Latitude': 37.78801, 'Longitude': -122.402}, 'BottomRight': {'Latitude': 37.78627, 'Longitude': -122.39979}}, 'Address': {'Label': 'Mission St, San Francisco, CA 94105, United States', 'Country': 'USA', 'State': 'CA', 'County': 'San Francisco', 'City': 'San Francisco', 'District': 'Soma', 'Street': 'Mission St', 'PostalCode': '94105', 'AdditionalData': [{'value': 'United States', 'key': 'CountryName'}, {'value': 'California', 'key': 'StateName'}, {'value': 'San Francisco', 'key': 'CountyName'}, {'value': 'N', 'key': 'PostalCodeType'}]}}}, {'Relevance': 0.75, 'MatchLevel': 'street', 'MatchQuality': {'City': 1.0, 'Street': [1.0]}, 'Location': {'LocationId': 'NT_bYpKpxEcrDtz9LkmsfwmwD', 'LocationType': 'point', 'DisplayPosition': {'Latitude': 37.72446, 'Longitude': -122.435}, 'NavigationPosition': [{'Latitude': 37.72446, 'Longitude': -122.435}], 'MapView': {'TopLeft': {'Latitude': 37.73186, 'Longitude': -122.441}, 'BottomRight': {'Latitude': 37.7163899, 'Longitude': -122.42822}}, 'Address': {'Label': 'Mission St, San Francisco, CA 94112, United States', 'Country': 'USA', 'State': 'CA', 'County': 'San Francisco', 'City': 'San Francisco', 'District': 'Excelsior', 'Street': 'Mission St', 'PostalCode': '94112', 'AdditionalData': [{'value': 'United States', 'key': 'CountryName'}, {'value': 'California', 'key': 'StateName'}, {'value': 'San Francisco', 'key': 'CountyName'}, {'value': 'N', 'key': 'PostalCodeType'}]}}}, {'Relevance': 0.75, 'MatchLevel': 'street', 'MatchQuality': {'City': 1.0, 'Street': [1.0]}, 'Location': {'LocationId': 'NT_eY99sbnQmijHTi914dAAOB', 'LocationType': 'point', 'DisplayPosition': {'Latitude': 37.72446, 'Longitude': -122.435}, 'NavigationPosition': [{'Latitude': 37.72446, 'Longitude': -122.435}], 'MapView': {'TopLeft': {'Latitude': 37.73186, 'Longitude': -122.441}, 'BottomRight': {'Latitude': 37.7163899, 'Longitude': -122.42822}}, 'Address': {'Label': 'Mission St, San Francisco, CA 94112, United States', 'Country': 'USA', 'State': 'CA', 'County': 'San Francisco', 'City': 'San Francisco', 'District': 'Mission Terrace', 'Street': 'Mission St', 'PostalCode': '94112', 'AdditionalData': [{'value': 'United States', 'key': 'CountryName'}, {'value': 'California', 'key': 'StateName'}, {'value': 'San Francisco', 'key': 'CountyName'}, {'value': 'N', 'key': 'PostalCodeType'}]}}}, {'Relevance': 0.75, 'MatchLevel': 'street', 'MatchQuality': {'City': 1.0, 'Street': [1.0]}, 'Location': {'LocationId': 'NT_mo8ojrGnuWRNQYvyypO0yD', 'LocationType': 'point', 'DisplayPosition': {'Latitude': 37.74208, 'Longitude': -122.42217}, 'NavigationPosition': [{'Latitude': 37.74208, 'Longitude': -122.42217}], 'MapView': {'TopLeft': {'Latitude': 37.74837, 'Longitude': -122.42481}, 'BottomRight': {'Latitude': 37.7352599, 'Longitude': -122.41813}}, 'Address': {'Label': 'Mission St, San Francisco, CA 94110, United States', 'Country': 'USA', 'State': 'CA', 'County': 'San Francisco', 'City': 'San Francisco', 'District': 'Bernal Heights', 'Street': 'Mission St', 'PostalCode': '94110', 'AdditionalData': [{'value': 'United States', 'key': 'CountryName'}, {'value': 'California', 'key': 'StateName'}, {'value': 'San Francisco', 'key': 'CountyName'}, {'value': 'N', 'key': 'PostalCodeType'}]}}}, {'Relevance': 0.75, 'MatchLevel': 'street', 'MatchQuality': {'City': 1.0, 'Street': [1.0]}, 'Location': {'LocationId': 'NT_02v2jQJAaVnBEjwky6SlWB', 'LocationType': 'point', 'DisplayPosition': {'Latitude': 37.78919, 'Longitude': -122.39681}, 'NavigationPosition': [{'Latitude': 37.78919, 'Longitude': -122.39681}], 'MapView': {'TopLeft': {'Latitude': 37.79105, 'Longitude': -122.39914}, 'BottomRight': {'Latitude': 37.78733, 'Longitude': -122.39448}}, 'Address': {'Label': '1st St, San Francisco, CA 94105, United States', 'Country': 'USA', 'State': 'CA', 'County': 'San Francisco', 'City': 'San Francisco', 'District': 'The East Cut', 'Street': '1st St', 'PostalCode': '94105', 'AdditionalData': [{'value': 'United States', 'key': 'CountryName'}, {'value': 'California', 'key': 'StateName'}, {'value': 'San Francisco', 'key': 'CountyName'}, {'value': 'N', 'key': 'PostalCodeType'}]}}}, {'Relevance': 0.75, 'MatchLevel': 'street', 'MatchQuality': {'City': 1.0, 'Street': [1.0]}, 'Location': {'LocationId': 'NT_5plvehIy2LF9tvSOvBGlzD', 'LocationType': 'point', 'DisplayPosition': {'Latitude': 37.7112, 'Longitude': -122.44689}, 'NavigationPosition': [{'Latitude': 37.7112, 'Longitude': -122.44689}], 'MapView': {'TopLeft': {'Latitude': 37.7163899, 'Longitude': -122.45422}, 'BottomRight': {'Latitude': 37.70828, 'Longitude': -122.441}}, 'Address': {'Label': 'Mission St, San Francisco, CA 94112, United States', 'Country': 'USA', 'State': 'CA', 'County': 'San Francisco', 'City': 'San Francisco', 'District': 'Outer Mission', 'Street': 'Mission St', 'PostalCode': '94112', 'AdditionalData': [{'value': 'United States', 'key': 'CountryName'}, {'value': 'California', 'key': 'StateName'}, {'value': 'San Francisco', 'key': 'CountyName'}, {'value': 'N', 'key': 'PostalCodeType'}]}}}, {'Relevance': 0.75, 'MatchLevel': 'street', 'MatchQuality': {'City': 1.0, 'Street': [1.0]}, 'Location': {'LocationId': 'NT_w5IVIQowYY9RJDvsUbWXAC', 'LocationType': 'point', 'DisplayPosition': {'Latitude': 37.71376, 'Longitude': -122.44357}, 'NavigationPosition': [{'Latitude': 37.71376, 'Longitude': -122.44357}], 'MapView': {'TopLeft': {'Latitude': 37.7163899, 'Longitude': -122.45422}, 'BottomRight': {'Latitude': 37.70828, 'Longitude': -122.441}}, 'Address': {'Label': 'Mission St, San Francisco, CA 94112, United States', 'Country': 'USA', 'State': 'CA', 'County': 'San Francisco', 'City': 'San Francisco', 'District': 'Crocker Amazon', 'Street': 'Mission St', 'PostalCode': '94112', 'AdditionalData': [{'value': 'United States', 'key': 'CountryName'}, {'value': 'California', 'key': 'StateName'}, {'value': 'San Francisco', 'key': 'CountyName'}, {'value': 'N', 'key': 'PostalCodeType'}]}}}]}]}}",37.77867,-122.4116
MISSION ST,20TH ST,"{'Response': {'MetaInfo': {'Timestamp': '2022-12-06T05:45:24.230+0000'}, 'View': [{'_type': 'SearchResultsViewType', 'ViewId': 0, 'Result': [{'Relevance': 0.9, 'MatchLevel': 'street', 'MatchQuality': {'City': 1.0, 'District': 1.0, 'Street': [1.0]}, 'Location': {'LocationId': 'NT_DlMCkVzKW5u3BmLYpVqIGA', 'LocationType': 'point', 'DisplayPosition': {'Latitude': 37.75887, 'Longitude': -122.41513}, 'NavigationPosition': [{'Latitude': 37.75887, 'Longitude': -122.41513}], 'MapView': {'TopLeft': {'Latitude': 37.75921, 'Longitude': -122.42049}, 'BottomRight': {'Latitude': 37.75854, 'Longitude': -122.40978}}, 'Address': {'Label': '20th St, San Francisco, CA 94110, United States', 'Country': 'USA', 'State': 'CA', 'County': 'San Francisco', 'City': 'San Francisco', 'District': 'Mission', 'Street': '20th St', 'PostalCode': '94110', 'AdditionalData': [{'value': 'United States', 'key': 'CountryName'}, {'value': 'California', 'key': 'StateName'}, {'value': 'San Francisco', 'key': 'CountyName'}, {'value': 'N', 'key': 'PostalCodeType'}]}}}]}]}}",37.75887,-122.41513
MISSION ST,FREMONT ST,"{'Response': {'MetaInfo': {'Timestamp': '2022-12-06T05:45:24.665+0000'}, 'View': [{'_type': 'SearchResultsViewType', 'ViewId': 0, 'Result': [{'Relevance': 0.78, 'MatchLevel': 'street', 'MatchQuality': {'City': 1.0, 'Street': [1.0]}, 'Location': {'LocationId': 'NT_ro5Vpofan0w3ZRW0xDa51A', 'LocationType': 'point', 'DisplayPosition': {'Latitude': 37.78987, 'Longitude': -122.39595}, 'NavigationPosition': [{'Latitude': 37.78987, 'Longitude': -122.39595}], 'MapView': {'TopLeft': {'Latitude': 37.79169, 'Longitude': -122.39834}, 'BottomRight': {'Latitude': 37.7879999, 'Longitude': -122.3936}}, 'Address': {'Label': 'Fremont St, San Francisco, CA 94105, United States', 'Country': 'USA', 'State': 'CA', 'County': 'San Francisco', 'City': 'San Francisco', 'District': 'The East Cut', 'Street': 'Fremont St', 'PostalCode': '94105', 'AdditionalData': [{'value': 'United States', 'key': 'CountryName'}, {'value': 'California', 'key': 'StateName'}, {'value': 'San Francisco', 'key': 'CountyName'}, {'value': 'N', 'key': 'PostalCodeType'}]}}}, {'Relevance': 0.78, 'MatchLevel': 'street', 'MatchQuality': {'City': 1.0, 'Street': [1.0]}, 'Location': {'LocationId': 'NT_lEyx5MksQTATPZLTZbooFD', 'LocationType': 'point', 'DisplayPosition': {'Latitude': 37.78739, 'Longitude': -122.39283}, 'NavigationPosition': [{'Latitude': 37.78739, 'Longitude': -122.39283}], 'MapView': {'TopLeft': {'Latitude': 37.7879999, 'Longitude': -122.3936}, 'BottomRight': {'Latitude': 37.78679, 'Longitude': -122.39206}}, 'Address': {'Label': 'Fremont St, San Francisco, CA 94105, United States', 'Country': 'USA', 'State': 'CA', 'County': 'San Francisco', 'City': 'San Francisco', 'District': 'South Beach', 'Street': 'Fremont St', 'PostalCode': '94105', 'AdditionalData': [{'value': 'United States', 'key': 'CountryName'}, {'value': 'California', 'key': 'StateName'}, {'value': 'San Francisco', 'key': 'CountyName'}, {'value': 'N', 'key': 'PostalCodeType'}]}}}]}]}}",37.78987,-122.39595
MISSION ST,13TH ST,"{'Response': {'MetaInfo': {'Timestamp': '2022-12-06T05:45:25.107+0000'}, 'View': [{'_type': 'SearchResultsViewType', 'ViewId': 0, 'Result': [{'Relevance': 0.9, 'MatchLevel': 'street', 'MatchQuality': {'City': 1.0, 'District': 1.0, 'Street': [1.0]}, 'Location': {'LocationId': 'NT_uj2hvH2-81afAaF.FG-0GB', 'LocationType': 'point', 'DisplayPosition': {'Latitude': 37.76974, 'Longitude': -122.41664}, 'NavigationPosition': [{'Latitude': 37.76974, 'Longitude': -122.41664}], 'MapView': {'TopLeft': {'Latitude': 37.77012, 'Longitude': -122.41998}, 'BottomRight': {'Latitude': 37.76945, 'Longitude': -122.41332}}, 'Address': {'Label': '13th St, San Francisco, CA 94103, United States', 'Country': 'USA', 'State': 'CA', 'County': 'San Francisco', 'City': 'San Francisco', 'District': 'Mission', 'Street': '13th St', 'PostalCode': '94103', 'AdditionalData': [{'value': 'United States', 'key': 'CountryName'}, {'value': 'California', 'key': 'StateName'}, {'value': 'San Francisco', 'key': 'CountyName'}, {'value': 'N', 'key': 'PostalCodeType'}]}}}]}]}}",37.76974,-122.41664
MISSION ST,ERIE ST,"{'Response': {'MetaInfo': {'Timestamp': '2022-12-06T05:45:25.579+0000'}, 'View': [{'_type': 'SearchResultsViewType', 'ViewId': 0, 'Result': [{'Relevance': 0.9, 'MatchLevel': 'street', 'MatchQuality': {'City': 1.0, 'District': 1.0, 'Street': [1.0]}, 'Location': {'LocationId': 'NT_bIcGHYf00Fgh.530ICaq8C', 'LocationType': 'point', 'DisplayPosition': {'Latitude': 37.76927, 'Longitude': -122.41673}, 'NavigationPosition': [{'Latitude': 37.76927, 'Longitude': -122.41673}], 'MapView': {'TopLeft': {'Latitude': 37.76961, 'Longitude': -122.42004}, 'BottomRight': {'Latitude': 37.76907, 'Longitude': -122.41563}}, 'Address': {'Label': 'Erie St, San Francisco, CA 94103, United States', 'Country': 'USA', 'State': 'CA', 'County': 'San Francisco', 'City': 'San Francisco', 'District': 'Mission', 'Street': 'Erie St', 'PostalCode': '94103', 'AdditionalData': [{'value': 'United States', 'key': 'CountryName'}, {'value': 'California', 'key': 'StateName'}, {'value': 'San Francisco', 'key': 'CountyName'}, {'value': 'N', 'key': 'PostalCodeType'}]}}}]}]}}",37.76927,-122.41673
MISSION ST,BEALE ST,"{'Response': {'MetaInfo': {'Timestamp': '2022-12-06T05:45:26.010+0000'}, 'View': [{'_type': 'SearchResultsViewType', 'ViewId': 0, 'Result': [{'Relevance': 0.77, 'MatchLevel': 'street', 'MatchQuality': {'City': 1.0, 'Street': [1.0]}, 'Location': {'LocationId': 'NT_ntMNzVWFeqzcsnZIumvhqC', 'LocationType': 'point', 'DisplayPosition': {'Latitude': 37.78701, 'Longitude': -122.39062}, 'NavigationPosition': [{'Latitude': 37.78701, 'Longitude': -122.39062}], 'MapView': {'TopLeft': {'Latitude': 37.78871, 'Longitude': -122.39272}, 'BottomRight': {'Latitude': 37.78532, 'Longitude': -122.38852}}, 'Address': {'Label': 'Beale St, San Francisco, CA 94105, United States', 'Country': 'USA', 'State': 'CA', 'County': 'San Francisco', 'City': 'San Francisco', 'District': 'South Beach', 'Street': 'Beale St', 'PostalCode': '94105', 'AdditionalData': [{'value': 'United States', 'key': 'CountryName'}, {'value': 'California', 'key': 'StateName'}, {'value': 'San Francisco', 'key': 'CountyName'}, {'value': 'N', 'key': 'PostalCodeType'}]}}}]}]}}",37.78701,-122.39062
MISSION ST,FAIR AVE,"{'Response': {'MetaInfo': {'Timestamp': '2022-12-06T05:45:26.478+0000'}, 'View': [{'_type': 'SearchResultsViewType', 'ViewId': 0, 'Result': [{'Relevance': 0.76, 'MatchLevel': 'street', 'MatchQuality': {'City': 1.0, 'Street': [1.0]}, 'Location': {'LocationId': 'NT_E3bZDpCB.yFrNc9LlCK1jD', 'LocationType': 'point', 'DisplayPosition': {'Latitude': 37.74536, 'Longitude': -122.41933}, 'NavigationPosition': [{'Latitude': 37.74536, 'Longitude': -122.41933}], 'MapView': {'TopLeft': {'Latitude': 37.74559, 'Longitude': -122.41987}, 'BottomRight': {'Latitude': 37.74489, 'Longitude': -122.41808}}, 'Address': {'Label': 'Fair Ave, San Francisco, CA 94110, United States', 'Country': 'USA', 'State': 'CA', 'County': 'San Francisco', 'City': 'San Francisco', 'District': 'Bernal Heights', 'Street': 'Fair Ave', 'PostalCode': '94110', 'AdditionalData': [{'value': 'United States', 'key': 'CountryName'}, {'value': 'California', 'key': 'StateName'}, {'value': 'San Francisco', 'key': 'CountyName'}, {'value': 'N', 'key': 'PostalCodeType'}]}}}]}]}}",37.74536,-122.41933
MISSION ST,SAINT MARYS AVE,"{'Response': {'MetaInfo': {'Timestamp': '2022-12-06T05:45:26.908+0000'}, 'View': [{'_type': 'SearchResultsViewType', 'ViewId': 0, 'Result': [{'Relevance': 0.79, 'MatchLevel': 'street', 'MatchQuality': {'City': 1.0, 'Street': [1.0]}, 'Location': {'LocationId': 'NT_6OFJFkjq6pGORmTVeuXQIC', 'LocationType': 'point', 'DisplayPosition': {'Latitude': 37.73446, 'Longitude': -122.42727}, 'NavigationPosition': [{'Latitude': 37.73446, 'Longitude': -122.42727}], 'MapView': {'TopLeft': {'Latitude': 37.73499, 'Longitude': -122.4284}, 'BottomRight': {'Latitude': 37.73395, 'Longitude': -122.42612}}, 'Address': {'Label': 'Saint Marys Ave, San Francisco, CA 94112, United States', 'Country': 'USA', 'State': 'CA', 'County': 'San Francisco', 'City': 'San Francisco', 'District': 'Bernal Heights', 'Street': 'Saint Marys Ave', 'PostalCode': '94112', 'AdditionalData': [{'value': 'United States', 'key': 'CountryName'}, {'value': 'California', 'key': 'StateName'}, {'value': 'San Francisco', 'key': 'CountyName'}, {'value': 'N', 'key': 'PostalCodeType'}]}}}]}]}}",37.73446,-122.42727
